ulasan,rating,sentimen
Baguss grafiknya gue suka dan Gue gasabar nunggu aouad season 2 itu aja karna gue gte mo komen afahh😭🤟,5,positif
Lagi nonton tiba tiba disuruh masuk,1,negatif
Ribet mau bikin akun nya ga bisa nyoba 30 hari gratis,1,negatif
Bagus,5,positif
"Maaf kami tidak bisa menjangkau layanan netfix, coba lagi nanti. .gitu aja terus....",1,negatif
"Minta update , setelah update gabisa bukaaa kocak lu",1,negatif
Pakai debit ga bisa. Mau nonton aja ribet bayarnya. Harusny disediakan sistem transfer aja malah bagus. Ini mau berlangganan aja dibikin ribet!!!!,1,negatif
Bagus sekali ini,4,positif
Gimana cara uninstall nya?,1,negatif
banyakin lagi film terbarunya dongg😍,5,positif
Sangat puas,5,positif
Bagus,5,positif
Bagaimana cara uninstal aplikasi ini?kok bisa tertanam di hp saya?,1,negatif
Gk seru ah berbayar masuk jga harus berbayar,1,negatif
👍👍,4,positif
Bagus aja gitu,5,positif
Harus pake kartu kredit_-,1,negatif
"Nyesel langganan di sini, terlalu banyak kekurangan di apk ini yang tidak bisa diungkapkan, karena terlalu banyak. TAIKKK",1,negatif
"Agak ribet sistem pembayarannya hrs pake kk,gw ga mau punya kk,takut sn hutang.",3,negatif
Netflik GX guan byak persyaratan nya c,5,positif
seruuu,5,positif
God,5,positif
Gambar dan suara jelas,5,positif
Tidak bisa berlangganan karna harus pake debit dan kredit 😥 cb ada pembayaran lain yg lebih mudah,2,negatif
"hadehh,apk ga guna",1,negatif
Rasis,1,negatif
Aplikasinya mudah serta koleksi film dan dramanya juga lengkap. Netflix memang keren👍👍🏻👍🏻,5,positif
"Susah banget untuk perbarui pembayaran, setiap mau perbarui pembayaran ada aja masalahnya",2,negatif
"Tolong kepadaaa Netflix, tayangin The box nya park chanyeol yaa? 🙂🖤 nanti baru dikasih bintang 5 dehh hehehe😚",3,negatif
Saran ku tambah kan film fast and furious dari 1 sampe ke 9 heheh,5,positif
the best,5,positif
"payah!!!!! baru download pas dibuka ""maaf kami tidak dapat mengakses layanan ini""",1,negatif
Waw😱,4,positif
Wajib donwlod.,5,positif
"Baru tau dari google klu netflix ga bisa masuk ke indonesia karna banyak tayangannya ga bisa di sensor. selain indonesia, daratan china dan syaria jg sama.",2,negatif
Pas mau daftar keanggotaan gak bisa pakai gopay harap di perbaiki lagi pakai pembayarannya jangan cuma pakai kartu kredit aja,1,negatif
Drama korea nya gak pernah ketinggalan😍😍,5,positif
👎🏻👎🏻👎🏻👎🏻,1,negatif
Jangan didonlot nanti nyesal,1,negatif
Trims,3,negatif
Ga jelas udah bayar premium eh harus nunggu 9hari. RUGII,1,negatif
Kenapa kaga bisa kebuka😭,1,negatif
Gabisa dibuka,1,negatif
Bagus juga,5,positif
Mantap kualitas videonya 👍👍👍👍👍,5,positif
Aplikasi goblok,1,negatif
Waw,5,positif
okee,4,positif
Daftar aja valid trus.jls2 Gmail yg gua pakai yg ini,1,negatif
Gabisa masuk ke beranda nya padahal sudah msk ke app nya,1,negatif
"What application is the price, it's very expensive to watch, try giving the price, don't think it's arbitrary!",1,negatif
Bismilah,5,positif
Bgus,5,positif
Kmaren kmaren bisa loh ini kenapa jadi gak bisa dibuka??,1,negatif
Kalo ngadain kode gratis ky app video mungkin bakalan lebih bagus lg,3,negatif
not good,1,negatif
Tetap menjadi layanan aplikasi nonton terbaikku 🔥🔥,5,positif
"Aplikasi netflix, solusi hiburan tanpa harus keluar rumah cocok untuk saya yang tidak suka keramaian",5,positif
Gooooood,5,positif
sangat sangat ribet Sehingga aplikasi ini kurang di download . coba lah bikin pendaptran yang mudah aplikasi kurang mendukung,1,negatif
Sukaaaaa🥰😍,5,positif
Sayang gak bisa bayar pakai pulsa 😥,1,negatif
Kembalikan kuota sy,1,negatif
Wow aku suka film yang ada mode interaktif pertama kalinya aku menemukan aplikasi yang bisa begini hebat seandainya bintangnya bisa di tambah akan ku beri 10,5,positif
jahanam,1,negatif
Sangat bagus,5,positif
❤️,5,positif
Jelek,1,negatif
Ngentot dah ni aplikasi,5,positif
Terlalu ribet . Harus ini itu,1,negatif
Good,5,positif
kok berbayar sih anjir,1,negatif
Penghina agama ! Harusnya perusahaan ini segera di tutup ! Seperti anak yg tidak di ajarkan tatakrama oleh ibunya cuih !!,1,negatif
Nge search apa hasilnya apa kocak lu,1,negatif
Berbayar mendung dari web,4,positif
Cuman mau bilang hmm gak banget,1,negatif
Cara Login netflix pls,5,positif
"Tolong dong masa netflix saya tidak bisa dibuka, udah hampir satu minggu nih",1,negatif
"Sudah di lakukan pembayaran melalui Shopee pay, namun akun di tangguhkan, kalo emang bermasalah kenapa ada pilihan melalaui apk tersebut",1,negatif
Good,5,positif
makin mnyesatkan apl ini.,1,negatif
Suka banget,5,positif
Memuaskan semua ada dalam satu aplikasi top netflik dan pemutaran di tv android lancar .,5,positif
So nice,5,positif
Mending hapus aja aplikasi kak👍🏻,1,negatif
"Baru pertama coba netflix.. Tapi kok tiap mau nonton filmnya selalu ada tulisan, Judul ini tidak tersedia untuk ditonton langsung. Itu kenapa yah?",1,negatif
Engeh banget Ama netflik .nyekek bngt .awal berlangganan 48000 lama nyekek JD 120 rbu sekarang malah 150 .JD makin naik .,1,negatif
Amazing,5,positif
Saya harap apk ini tidak berbayar,2,negatif
Masa iya harus bayar. Buat versi free nya kek. Aplikasi ga guna,1,negatif
menghina agams,1,negatif
Hiburan yg bagus tinggal pilih,3,negatif
Coba,4,positif
Coba dulu,3,negatif
Mantap,5,positif
Kenapa seris transformers prime cuma 26 ??????,4,positif
App geblek gilla masa gk bisa masuk app anjing goblok,1,negatif
wah bagus sekali tapi gak bisa masuk,1,negatif
Bgus lh,5,positif
Cacat,1,negatif
Klo ada rating bintang 0 saya kasih. Gliran mau d buka gak bisa payah,1,negatif
Ajib,5,positif
Kualitas vidio nyah bagus banget nonton pun enak kalo gini,5,positif
Aplikasi ini GK guna sama sekali,1,negatif
Mantap,5,positif
Gak bs d buka,1,negatif
ga jelas,1,negatif
Setiap kali saya nonton selalu vidionya error knp ya?mohon dibantu rasa nyesel saya langganan kalau nonton vidionya selalu eror,3,negatif
Coba,5,positif
Woww...Netflix emang bkn utuk smua kalangan kaka..apalagi kalangan RASKIN yg psti gx pnya krtu kredit ...dr si RASKIN saya kasih bintang 5 ...hahaa,5,positif
Good,5,positif
Percma langganan apk slalu eror,1,negatif
Say bayar y 180rb perbulan gk bisa login disuru pendaftaran ulng dan yg ke dua x y sy daftar lagi tpi tetep gk bisa login dan nonton supa nyesek banget duit 360rb hangus aja nyesel w,1,negatif
Kenapa ga bisa login dah? Aneh banget,1,negatif
Nice,5,positif
"Mantap pokoknyaa,,pilihan film ny juga bagus2 Ngsi ulang pketnya juga mudah,, bsa lewat apa aja..",5,positif
Good,5,positif
Apk anjingggg,1,negatif
"aplikasi streaming film yg bagus, semoga kedepannya ada banyak film² jadul yg ditambahkan agar koleksi film dinetflix semakin lengkap",5,positif
Aplikasi buruk g bisa masuk harus ulang kata sandi Mulu bener bener buruk,1,negatif
GAJELAS,1,negatif
Top dah paling mantap skliii pokonya debless,5,positif
Aplikasi jelek masa nonton film harus bayar!!!!,1,negatif
Siipppp,5,positif
"Aplikasinya sudah bagus,tapi saya harap mempertambah metode pembayaran seperti ovo,dana,gopay dan dompet digital lainnya",5,positif
Nice,5,positif
jelek,1,negatif
Koke,5,positif
Tolol,1,negatif
"Sering terjadi kegagalan saat film di putar,, terkadang suara jalan terus tapi gambar macet,,",3,negatif
JUAL NETFLIX 25K/BULAN FULL GARANSI Bisa cek ig @ournetflix.id,5,positif
Good,5,positif
"Film tidak bisa diputar,padahal sudah berlangganan",1,negatif
bagus,5,positif
Buruk,1,negatif
Ok,5,positif
Aplikasi kocak mau login aja dibuat ribett,1,negatif
Susah,2,negatif
Great,5,positif
Gangguan seringg,2,negatif
Rekomendasi aplikasi buat nonton streaming 🔥,5,positif
Halo netflix apakah aplikasi ini harus membayar?,5,positif
Bagus,5,positif
zyirizal. Netfelil. Fonlokok.,5,positif
"maaf saya beri bintang 3, karena ada alasan setiap saya login kenapa stuck di logo Netflix ? berkali"" dan sekarang malah gak bisa masuk masih stuck padahal udah di uninstall, kasih solusi dong buat saya sebagai member.",3,negatif
Netflix paling oke diantara yg lain,5,positif
"DEMI ALLAH, CELAKA HIDUP ANDA MENHINA TUHAN SAYA #boicotumbrella3",1,negatif
Mantul,5,positif
Very Good☝️,5,positif
VERY GOOD,5,positif
"everything is good, just make the payment method easier",4,positif
"Kok layar buat nonton hitam..? Udh 2 hari loh.! Layarny gitu terus, biasanya gk ky gini, jdi susah kn!! Buat nonton",2,negatif
"Tagihan nya sll ada di kartu kredit sy, tp sy ga bisa buka aplikasi, aplg nonton film nya, sebel dan kecewa, krn pake provider Telkomsel, di kota sy hanya Telkomsel yg lancar inet nya... Tlg admin bantu hentikan tagihan di kartu kredit sya...tks",1,negatif
I love netflix. I can watch my favorite movie,5,positif
Susah melakukan pembayaran saat re konfirmasi,5,positif
Saya suka aplikasi ini... Dan apa yg ingin aku tonton ada disini semuanya ❤🐱,5,positif
Mantap,5,positif
Bagus,5,positif
"Mehong banget bayarnya ini , gak kaya viu udah gitu bisa bayarnya cuma pake debit atau kertu kredit .. klo viu bisa pake pulsa,gopay,ovo dll..daftarnya juga ribet bangett siih",2,negatif
Gak bisa masuk nonton film padahal aku udh masuk Gamil nya Malah gak bisa nonton film,1,negatif
"gokil ini film"" nya😊😊",5,positif
Tlong tmbhin metode byrnya sgt2 merepotkan tdk smw pny 3 krtu itu.debit mandiri bni keq gtu2 yg umum d indo keq alfa keq..,1,negatif
"kasih bintang 5 aja dulu, walaupun masuknya susah banget, ada yg bisa bantukah",5,positif
bad aplikasi,1,negatif
"jelek, menghina,goblox",1,negatif
BAGUS² FILEM NYA,5,positif
Kurang menarik,5,positif
Aplikasi sangat buruk. Jangan pernah mengolok-olok agama islam!,1,negatif
Bagus,5,positif
"Thanks utk gratis 30 hari nya, btw netflix ga harus pake CC koq, gue pake Debit card visa / mastercard bisa.",5,positif
Burik apk ngebug tolollllllllll burikkkkkk🤧🤧🤧,1,negatif
Ok,5,positif
Udh mahal ribet pula,1,negatif
Favorite entertainment channel,5,positif
Perampokan jaman now. Taik babi,1,negatif
Gk jelas kntlll,1,negatif
why cant register,1,negatif
Terlalu ribet pendaftarannya,1,negatif
Kerennn Bagus banget,5,positif
Ssya baru dnglod lang sung kasi 5 bintang♡♡♡♡,5,positif
Okmantapnetflix,5,positif
Cara masuknya gimana sih????,1,negatif
Siip,5,positif
Ok,5,positif
👎,1,negatif
Penistaan agama,1,negatif
"Gak guna, najis",1,negatif
Apk penghina!!!,1,negatif
😇,4,positif
Apknya bgs dech,5,positif
Aplikasi nonton paling nyaman,5,positif
Kata netflixnya program tidak bisa mencapai jangkauan netflix maksudnya paan? Silahkan di konfir y masalah ini,1,negatif
"masih ada aja drama yg subtitle nya ga ada pilihan Indonesia,padhal drama lama",4,positif
4 dulu klw bagus tak tambah,4,positif
"Buat aplikasi kok gini, utk apa fitur opsi ""search"" kalau ngk bisa nyari film dgn tepat. Dicari ini yang muncul itu. Nyesel udah berlangganan",1,negatif
Kok buka di rumah gak bisa kebuka lagi.. jadi pengen cancel langganan..,1,negatif
Ini sangat bagus😃😃😃 Tapi kenapa pas saya buka gak bisa,5,positif
Gak bisa di buka aplikasinya,1,negatif
Mayan,5,positif
Nanno,5,positif
Aplikasi bagus bngt 😘,3,negatif
Udh login pas masuk lagi ko malah gak bisa tolong diperbaiki,3,negatif
"Saya sudah pencet ""mulai keanggotaan"" tapi kenapa gak bisa ya?",2,negatif
film nya bagus bagus banget,5,positif
Tampilan makin bagus,5,positif
Manstabzz,5,positif
Netflix apk paling jelek seumur hidup🤢🤮,1,negatif
good,5,positif
Aplikasi yang bagus buat nonton Drakor niih rekomend deh pokoknya,5,positif
Coba 3 bintang dulu. Mudah2han bgus,3,negatif
"apan bangt, baru downdload aja katanya ""ada permasalahan gajelas , jgn di downdload deh",1,negatif
"Gk bsa masuk, selalu ""tidak dalam jangkauan""",1,negatif
Nemu film nya Inuyasha full sub indo juga ....,5,positif
Kalo setay gua ini apk dukung isra3l gengs 👎,1,negatif
Great,5,positif
Good,5,positif
Aplikasi kampret bikin rugi kuota aja. Download gak bisa kebuka dasar aplikasi haram,1,negatif
Dah instal tp g bisa masuk,1,negatif
FILM ANIME KELUARIN EPISODENYA YANG BARU WOY CEPATAN,1,negatif
Layarnya suka bug gak jelas,1,negatif
ini bagus sekali,5,positif
Mantabs...,5,positif
"Ada masalah ketika nonton di HP, ketika film atau series di tekan, ngelag parah, pas nonton jadi ga nyaman, saya gak tau masalah di aplikasi Netflixnya atau mungkin di HP nya, tapi saya coba log in di HP lain dan lancar lancar aja, padahal dulu di HP ini juga normal🤔 kenapa ya?",5,positif
"susah daftar, padahal kata sandi sudah benar.",1,negatif
Seru bisa nonton film kesukaan saya dimanapun,5,positif
Top,5,positif
"ini apk kok tiba-tiba ada diperkangkat, padahal gaada nge-instal sebelumnya????",2,negatif
Asal saja.,5,positif
hei jangan menghina agamaku,1,negatif
Saran aku sih kalian nonton tv aja.,5,positif
Seru,5,positif
Gabisa di akses. Lol,1,negatif
tanyangan untuk film gak semua bisa ditonton,5,positif
Main potong2 aja saldo org,1,negatif
Tolol ada unsur penghinaan terhadap agama Islam,1,negatif
Kalau buat vidio bagus siket ngk ush ad lafaz allah di lantai lagi.ditunggu klasifikasi nya #boikotacademiaumbrella3,1,negatif
"Bintang 2 aja, kok ga ada subtitle indonesia?",2,negatif
"Burik,masa bayar dh tau gw kga punya duit",1,negatif
Bagus,5,positif
Apakah drama age of youth 2 tersedia di netflix ?,2,negatif
Ribet,1,negatif
sangat bagus saya bisa nonton squid geme,5,positif
Knpa sllu kena masalah (8.5) . Udah hapus dan reset ulang tp tetep sama,5,positif
Good,5,positif
Okkk,5,positif
Bagus mantap pokoknya,5,positif
aplikasi bangsadt lah sudah dimasukin email mlh gak mau kebuka bangke memang,2,negatif
Kalo bisa kasih rating (-) saya kasih,1,negatif
Ok,5,positif
tiap bulan trpotong 54.000 tp gak bs masuk ke pilihan film nya... yg ada malah di suruh daftar lagi.... mau berhentikan akun jg gak bisa...!!!,1,negatif
Film nya banyak dan bagus2 meskipun langganan yang 1 tahun tidak ada,4,positif
Gue dh log in tapi apk ny gamau kebuka:),1,negatif
Mantap,5,positif
Wow Masya Allah,5,positif
"Saldo orang langsung potong aja, tidak ada konfirmasi lagi Cacat, Film pun tidak lengkap, nyesal kali lah berlangganan aplikasi ini",1,negatif
Di MI10T kualitas gambar masih SD,1,negatif
"Bujang aplikasii tekk login susah ny minta ampun udh 4x gua login, tidak valid tidak valid bujang",1,negatif
Galau,5,positif
Rasane pool,5,positif
Belum nyoba,5,positif
Baik,4,positif
ini gak bisa dibuka ya toling diperbaiki🙏🏻🙏🏻,1,negatif
Wow keren kalo bisa harganya lebih murah,5,positif
Busuk,1,negatif
Oke,5,positif
Ribet,1,negatif
Ribet,2,negatif
Netflix APK RASIS!!!!,1,negatif
Gak bisa masuk netflix di hp ku,1,negatif
Ok,5,positif
Netflix emang bayar goblookk mana ada yg gratis didunia ini.. Kencing aja bayar bego lu,5,positif
Gak bisa dibukasama sekali .. payah 😡,1,negatif
"Semua berbayar,tidak di anjirkan untuk mendownload aplikasi ini",1,negatif
Bagus,5,positif
Wah sunggu bagus nya apa lagi ada jisoo blackpink loh ihh bagus nya sumpah,5,positif
Ok,5,positif
"Keren, sy sangat suka. Mantaap",5,positif
Good,4,positif
Aghhhh,1,negatif
Baguss sekali aku suka aku sukaa,5,positif
hapus film umbrela,1,negatif
"Cuma mau ngasih tau, yang ga bisa masuk atau ada tulisan tidak dapat menjangkau layanan Netflix itu brarti harus pake VPN yaa. Semoga membantu:))",5,positif
"heii, klo mau buat film ga usahh ngerendahin kepercayaan orang lain dongg, di kira bagus kek gtu",1,negatif
Menjadikan sebuah kenyamanan dalam Mengatasi kepenatan....,5,positif
Jelek,1,negatif
Mantap,5,positif
cara login gimana sii saya udah berulang kali login tapi tetap ga bisa bacaan hampir selesai 🤬,1,negatif
Oalahhhh tertipu saya...kirain free.. ternyata freehatin.. freehatin kantong saya..,3,negatif
Ok,5,positif
wow,5,positif
Baru juga daftar plus bayar malah gk bisa di buka apaan coba ini,1,negatif
Not good cok,1,negatif
Lagu nya sagat enak dan bisa main game,5,positif
"My device is using android 7 ,why I still can't watch black mirror and some interactive content??",1,negatif
Kenapa Gta Netflix tidak bisa download ?.. padahal sudah berlangganan,1,negatif
Bagus,5,positif
Filmnya sangat seru...,5,positif
Ini kenapa apalikasinya tidak bisa dibuka,5,positif
Aplikasinys sngt baguss 🥰,5,positif
Ok,5,positif
Mending download vidio,1,negatif
keseringan eror padahal baru bayar,3,negatif
Bagus,5,positif
Toling mun semua jaringan bisa akses,5,positif
Cool,5,positif
🥳🥳🥳🥳🥳,5,positif
Oke,5,positif
JANGAN INSTAL APK INI BIKIN EMOSI AJA PASTI YANG INSTAL APK INI BAKALAN NYESELLLLL.,1,negatif
Ok,5,positif
aplikasi apa ini kok cuma daftar bayar,1,negatif
Depelov nya ga nongol nongol mungkin takut kli sma neti gak ush bikin apk lh klo ujungnya cman nyusahin doang bkan ngasih pemasukan sma neti...😂😂😂,1,negatif
Baru nyoba pake netflix langsung bayar... Pas di pake nonton baru ada 10 keluar keluar terus dari aplikasi... Ga lama keluar notif netflix nge bug... Piye iki?,1,negatif
Mantap,4,positif
Mamam tuh bintang 1,1,negatif
Mantap aplikasinya,5,positif
"Kurang lengkap filmnya,, berbayar tapi gk byk pilihan filmnya😴",3,negatif
Gak paham make nya,3,negatif
Biasa,3,negatif
"Apk apaan g pernah bisa masuk, sllu gagal g guna",1,negatif
ni knp ga bisa dibuka si kecewa bangett herannn,1,negatif
ada film favorit ku favoritku one piece,5,positif
good,4,positif
Buruk!! Saya tidak bisa membuka aplikasi ini,1,negatif
Kenapa netflix kalau mau memutar video harus punya jaringn kuat kalau jaringan lemah sedikit udah nggak bisa di putar,1,negatif
👍,5,positif
Gimana mau pakai baru download bahasanya tagalog terus padahal di indo,3,negatif
👍👍👌👌👌,5,positif
Kontol,5,positif
Kesukaan aq bgt ntn,5,positif
mantap,5,positif
Bagus,5,positif
Iy,5,positif
🥰🥰🥰,5,positif
"Apliksi yg bagus dan sangat membantu , mksh",5,positif
Filmnya ko gak komplit,1,negatif
Kenapa harus menggunakan email 😩,1,negatif
Pembayarannya jangan hanya melalui ATM saja dong biar semua orang yg gak punya ATM bisa pakai juga.,5,positif
Yang mau nntn netflixx biar ga repottt dm ig ku @aulialuthfiaa trs ketik aja 'mau netflix',5,positif
Ok,5,positif
jelek,1,negatif
Ribet jelek jgn download,1,negatif
Aplikasi yg bagus!!! Ily💗✨,5,positif
"Enak ada aplikasi kayak gini, praktis dan benar-benar simple",5,positif
Ga jelas ni aplikasi,1,negatif
New,5,positif
badus,5,positif
"Bayar 65rb cuma aktif 10 hari di suruh langanan lagi, padahal sebelum nya 65rb bisa sebulan. Dan. Tiba tiba.. tertagih 185rb. Udah kayak scamer aja netflik",1,negatif
Bagus,4,positif
Aplikasi ini sangat bagus karna bisa donwload,5,positif
Nice,5,positif
Aplikasi jelek poll,1,negatif
Netflix untuk vidio nya lumayan bagus dan seru,5,positif
Tidak bagus susah masuk nya,1,negatif
"Udh download aplikasinya eh gk bisa kebuka , kampretttt!!!",1,negatif
Jelek Berlangganan NETFLIX Jaringan IndiHome Bandwidth Di Sedot Semua Kalo Buat Streaming Film,1,negatif
😘🤝🏻,5,positif
"Ngaco ngabisin kuota aja, mana gak bisa login lagi",1,negatif
gabsa login jir katany d perbarui pdhl bru download 🥰🥰🥰,1,negatif
ok,5,positif
Kategori GRATIS-POPULER cuman tempelan doang!!,1,negatif
Aplikasi Anjingn Pke Byr OTAK ANJING,1,negatif
ini kenapa netflix gak bisa di buka ya aplikasinya?sudah di install ulang tapi masih gak bisa.,1,negatif
Kenapa berbayar netflix!!!!,1,negatif
Awal dulu ragu mau install apk ini krn banyak yg complain dgn rating rendah sekali. Dan ada yang bilang cuman bisa pakai provider indosat. Akhirnya beranikan diri utk install aplikasi ini. Alhamdulillah ternyata pertama pakai apk ini pas pakai provider smartfren dan skrng pakai provider XL lancar jaya terus. Bahkan td siang sempet minta tethering temen yg pake provider 3 . G prmh ada masalah . Luv luv sekali,5,positif
ok,5,positif
Bgus bett Cocok buat pecinta drama,5,positif
"Menemani wfh dan dirumah aja, obat kebosanan sinetron unfaedah di tv saat ini. Anak2 Nonton film jepang animasi sdh di dubing. Ga cape baca terjemahan. Film2 korea tanpa iklan, bagus2. Pun utk film yg lain lengkap bgt seriesnya. Tambah lg pake XL ada kuota murah. Mantappppplah.",5,positif
buruk..pembayaran yg susah,1,negatif
"Gilak sih ini ,nonton udah pake kuota , mau daftar pun harus berbayar juga 😪",1,negatif
Ko ga jls sih😭,1,negatif
Gak jelas,1,negatif
mohon dipertimbangkan untuk pembayaran lewat pulsa .. pasti laku. dan sya kasih bintang 5.,3,negatif
Erorr padahal sudah update. Please pair the network,1,negatif
Keren,5,positif
"Aplikasinya bagus, jarang lag",5,positif
Gak bisa login.jelek sekali aplikaai netflix,1,negatif
Semoga irit kuota🤣,4,positif
Ok,5,positif
karena netflix menarik uang saya untuk pembayaran selanjutnya,2,negatif
Tak kei 5 men cepet,5,positif
pretty good??,3,negatif
jelek bngt mles,1,negatif
Bagus.,4,positif
baguss bangett nonton nya juga pilihann,5,positif
Verry good,5,positif
Seru,5,positif
mantap,5,positif
Ok,5,positif
Saya tambahin bintangnya nanti kalau saya sudah masuk/nonton d aplikasi in,1,negatif
Filmnya bagus rekomended banget deh,5,positif
Kualitas yang sangat bagus dan tidak ada iklannya,5,positif
Why netflix can't make free movie ...,3,negatif
karna saya suka sekali,5,positif
Harus bayar apa pepeq,1,negatif
Hapus aj ni apk rudet yang ada🖕,1,negatif
Baru masuk aja udh susah Harus ngisi email sama rekening So bad,5,positif
Bagus,5,positif
Ini gimanasih susah banget nge daftar udah di isi ke sandi masih aja salah katanya donglow aplikasi netflix. Com tapi ngak ada ini jelek bangget sumpah🤪🤪🤪🤪😠😡🤯😠😡🤬🤯😤😤,2,negatif
Aku kasih bintang satu karna Aplikasih ini gak mau terdonwlot aku gak tau kenapa begitu padahal aku mau nonton😢,1,negatif
Payah selalu gabisa login!!!!,1,negatif
hampir selesai mulu gak masuk masuk,1,negatif
good,5,positif
"aku kira lengkap film nya,ternyata banyak yng gk ada😿💔",1,negatif
Bagus,5,positif
😐😐😄😇😑😇😐😯 😇😉,5,positif
Min perbarui pendaftaran dong kalo bisa adakan ovo dan goggle pay kasian orang yang gak punya kredit card,2,negatif
Good,5,positif
Kenapa tidak bisa login?,3,negatif
Saya kasihh bintang satu krena dibikin ribet. Kan saya g pnya kartu debit atau kredit. Jdi bgini d bikin pusing. g seperti tetangga sebelahh ga ribet dan pusing langsung jadi. Klo yg ini d bkin pusingg😑😑😑😑,1,negatif
Hmmmmmmm paan sih,1,negatif
Saya sula aflikasi ini,5,positif
WHY!? WHY!? WHY I CANT WATCH KAKEGURUI!?!?,2,negatif
Oke,5,positif
Jelek!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!! Dah capek tapi boong padahal babus,5,positif
Ok,5,positif
Pembayarannya kalo bisa pakai Indomaret/Alfamart,1,negatif
Bayar dong,1,negatif
"Bgusss,yg blangg jlekk ada mslahh aphh ssi lu",5,positif
Gw uda download aplikasi ini. tp gak bs daftar katanya Terjadi kesalahan coba lagi nanti!! gimana coba uda 10 kali ngulang tp gk bisa. daftar pake debit uda 4 kartu gak bisa2 juga.,1,negatif
Tontonan nya bervariatif n menarik semua,5,positif
"Daftar aj harus bayar dulu, mending pakai aplikasi lain",1,negatif
"Mau tanya ka,, Hp pengaruh juga kah untuk kualitas gambarnya,, soalnya punya saya SD kualitas gambarnya",5,positif
Buruk,1,negatif
"Banyak tawaran paket, waktu di beli tdk bs di pakai mengecewakan",1,negatif
Ribettttt ulang2 trs minta email aplikasi kaleng2,1,negatif
aplikasi apaan ?? di buka aja gak bisa,1,negatif
Nyesel langganan. Ternyata filemnya gk sampai selesai,1,negatif
Aplikasi ga guna login aja ribet amat,1,negatif
Ga bisa masuk gg,1,negatif
"🇮🇩:Maaf mbak atau mas saya minta nteflix tidak berbayar karna orang orang ada yang tidak mempunyai uang untuk membayar dan kalau kita bayar masa sekali nonto nya??cuma nonton yang sudah kita bayar?? 🇬🇧:Miss, I beg you there is no payment in the application, maybe if you or bro it's free, maybe I will give you a lot of stars, that's all I have high blood",1,negatif
"mungkin kalian akan kehilangan banyak pelanggan jika memberi kebijakan seperti ini, Okelah kalau harus berbayar tapi ya tolong dipermudah, ga semua orang punya dan mau pakai kartu kredit, kalau pembayaran via rekening/pulsa tidak masalah, come on!",1,negatif
Apa itu Netflix...?,5,positif
"Aplikasinya udah bagus banyak film dan series yg seru, apalagi yg serial horror netflix tentang Elisa Lam. Oh iya untuk pembayaran tolong ditambah lagi dong opsinya. Jarang ngisi gopay soalnya, misal bisa bayar pake pulsa atau lewat tokopedia gitu platform lain. Selebihnya keren2...",4,positif
Daftar = Berbayar🙄,1,negatif
Senang,4,positif
Mau lihat dulu,4,positif
yg kesini gara gara kuota gratis netflix di axis net kita satu server,4,positif
Terimakasih jadilah yang terbaik,5,positif
Bagus seksli deh serinya,5,positif
Sangat buruk,5,positif
oke,5,positif
Recomendet,5,positif
Good,5,positif
(28 september 2019) Katalog film belum selengkap dinegara asalmu U.S :(,4,positif
Mantap jiwa,5,positif
Sangat bagus lah,5,positif
Aplikasi rusak setiap mau login error,1,negatif
Netflix always good~,5,positif
"Parah ngga bisa masuk...di tambah lagi baca ulasan komentar mending jangan di download..bikin kesal,rugi dan habis kuota aja di download",1,negatif
Saya tidak bisa mengupdate Aplikasi ini setelah saya upgrade ponsel ke Android12,1,negatif
nonton SOUID GAMCN3etflix Anda bau SOUID GAMC4,5,positif
App ajg menghina agama kalo mau cari uang jangan menghina agama mending main Barbie aja,1,negatif
Mantab,5,positif
Bagus banget aplikasinya,5,positif
Bagus,5,positif
Ngeri,5,positif
Tolong di perbaikin dulu apknya.. Pelanggan sudh banyak yg kecewa,1,negatif
Mantap,5,positif
"Saya masih blm punya kartu debit, tapi pas mau masukan akun email knp harus pake kartu debit dan segala macam! Saya nggk percaya kalo mau masukin sesuatu yg pribadi seperti itu!!",1,negatif
Sangat sukaaa,5,positif
Susah amat buat pendaftaran nya,1,negatif
"Udah hampir seminggu gagal buka app. Entah kenapa kok gak bisa di buka. Udah uninstal trus instal lagi, tapi tetep gk bisa. Tolong klo ada kendala informasikan email atau sms.",2,negatif
salah satu series yang di angkat netflix sudah menistakan agama islam,1,negatif
Serba berbayar 👍,1,negatif
"Aku kasih Bintang 5 Tapi kok,gak bisa dibuka??",5,positif
Servernya lemot banget,1,negatif
Good,5,positif
